SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date,Community
Vacant/Abandoned Building,11-00099608,01/21/2011,Front,,Open,FRONT,Vacant,False,False,6602,S,LOOMIS,BLVD,60636.0,1168131.21729285,1860971.94991348,17.0,7.0,67.0,41.774041017658156,-87.65921511100359,"(41.77404101765816, -87.6592151110036)",2011-01-21,67
Vacant/Abandoned Building,11-00099636,01/21/2011,Front,,Open,,Vacant,False,False,6818,S,MAY,ST,60621.0,1169826.97227113,1859585.65868081,17.0,7.0,68.0,41.7702002192336,-87.65303900235998,"(41.770200219233594, -87.65303900235999)",2011-01-21,68
Vacant/Abandoned Building,11-00099958,01/21/2011,Front,,Open,FRONT,Vacant,False,False,6501,S,BISHOP,ST,60636.0,1167783.08190401,1861634.21399205,17.0,7.0,67.0,41.77586583542428,-87.66047231403921,"(41.77586583542428, -87.6604723140392)",2011-01-21,67
Vacant/Abandoned Building,11-00100459,01/21/2011,,,,,,,,6302,N,MAGNOLIA,AVE,60660.0,1166806.27642294,1941994.35199248,40.0,24.0,77.0,41.99640097194767,-87.66174766265812,"(41.99640097194767, -87.66174766265812)",2011-01-21,77
Vacant/Abandoned Building,11-00100810,01/21/2011,,,,,,,,6457,S,HERMITAGE,AVE,60636.0,1165778.52858572,1861870.51907119,15.0,7.0,67.0,41.776557091215565,-87.66781413590147,"(41.77655709121556, -87.66781413590147)",2011-01-21,67
Vacant/Abandoned Building,11-00100812,01/21/2011,,,,,,,,6022,S,JUSTINE,ST,60636.0,1167035.60392814,1864789.98233258,15.0,7.0,67.0,41.78454167625932,-87.66312233682638,"(41.78454167625932, -87.66312233682639)",2011-01-21,67
Vacant/Abandoned Building,11-00101328,01/21/2011,Front,,Open,,Vacant,False,False,1030,N,LAWLER,AVE,60651.0,1142505.60909889,1906386.08188192,37.0,15.0,25.0,41.89917679808571,-87.75202823748181,"(41.89917679808571, -87.75202823748182)",2011-01-21,25
Vacant/Abandoned Building,11-00101352,01/21/2011,Garage,,Open,GARAGE,Vacant,,True,6053,S,CAMPBELL,AVE,,1160741.60232872,1864443.51320673,15.0,8.0,66.0,41.78372322648593,-87.68620835945161,"(41.783723226485925, -87.68620835945163)",2011-01-21,66
Vacant/Abandoned Building,11-00101378,01/21/2011,,,,,,,,5514,N,SPAULDING,AVE,60625.0,1153387.46600038,1936456.20061436,40.0,17.0,13.0,41.98148217687796,-87.71125766420003,"(41.98148217687796, -87.71125766420003)",2011-01-21,13
Vacant/Abandoned Building,11-00101565,01/21/2011,,,,,,,,7019,W,NEWPORT,AVE,60634.0,1128768.37030595,1922128.4199028,36.0,16.0,17.0,41.94262012822555,-87.80212754889679,"(41.94262012822555, -87.80212754889678)",2011-01-21,17
